"studyid","workflowid","groupid","numerator","denominator","metric","score","flag","gsm_analysis_date"
"AA-AA-000-0000","kri0001","83",83,4736,0.0175253378378378,3.14163226752837,2,2024-01-11
"AA-AA-000-0000","kri0001","43",400,24166,0.0165521807498138,6.54826938191601,2,2024-01-11
"AA-AA-000-0000","kri0001","75",114,7957,0.0143270076662059,3.03802341288682,2,2024-01-11
"AA-AA-000-0000","kri0001","154",17,475,0.0357894736842105,2.43779566976997,1,2024-01-11
"AA-AA-000-0000","kri0001","150",35,1647,0.021250758955677,2.40068640110128,1,2024-01-11
"AA-AA-000-0000","kri0001","25",39,2034,0.0191740412979351,2.3283739998252,1,2024-01-11
"AA-AA-000-0000","kri0001","120",42,2406,0.0174563591022444,2.22695859787585,1,2024-01-11
"AA-AA-000-0000","kri0001","91",129,12408,0.0103965183752418,2.20674547483598,1,2024-01-11
"AA-AA-000-0000","kri0001","145",2,53,0.0377358490566038,0.865669489732812,0,2024-01-11
"AA-AA-000-0000","kri0001","132",16,713,0.0224403927068724,1.6946925051475,0,2024-01-11
"AA-AA-000-0000","kri0001","171",11,715,0.0153846153846154,1.01319502036307,0,2024-01-11
"AA-AA-000-0000","kri0001","64",34,2833,0.0120014119308154,1.36407946147523,0,2024-01-11
"AA-AA-000-0000","kri0001","31",10,858,0.0116550116550117,0.713910013828212,0,2024-01-11
"AA-AA-000-0000","kri0001","42",8,702,0.0113960113960114,0.620881876790833,0,2024-01-11
"AA-AA-000-0000","kri0001","78",8,715,0.0111888111888112,0.606521782334373,0,2024-01-11
"AA-AA-000-0000","kri0001","162",16,1430,0.0111888111888112,0.857751330451973,0,2024-01-11
"AA-AA-000-0000","kri0001","105",25,2285,0.0109409190371991,1.04131562354966,0,2024-01-11
"AA-AA-000-0000","kri0001","22",39,3570,0.0109243697478992,1.29800337515657,0,2024-01-11
"AA-AA-000-0000","kri0001","157",57,5594,0.0101894887379335,1.42558094803518,0,2024-01-11
"AA-AA-000-0000","kri0001","65",9,885,0.0101694915254237,0.564868758064503,0,2024-01-11
"AA-AA-000-0000","kri0001","55",7,697,0.0100430416068867,0.489193021569803,0,2024-01-11
"AA-AA-000-0000","kri0001","116",18,1821,0.00988467874794069,0.766217459643099,0,2024-01-11
"AA-AA-000-0000","kri0001","20",7,720,0.00972222222222222,0.465995281736393,0,2024-01-11
"AA-AA-000-0000","kri0001","119",15,1570,0.00955414012738853,0.663980820403561,0,2024-01-11
"AA-AA-000-0000","kri0001","146",58,6195,0.00936238902340597,1.2642379050774,0,2024-01-11
"AA-AA-000-0000","kri0001","182",10,1070,0.00934579439252336,0.523444464484216,0,2024-01-11
"AA-AA-000-0000","kri0001","134",45,4824,0.00932835820895522,1.10704098183474,0,2024-01-11
"AA-AA-000-0000","kri0001","165",4,441,0.0090702947845805,0.315074520764327,0,2024-01-11
"AA-AA-000-0000","kri0001","47",24,2658,0.0090293453724605,0.765867391004032,0,2024-01-11
"AA-AA-000-0000","kri0001","128",29,3213,0.00902583255524432,0.841315786112864,0,2024-01-11
"AA-AA-000-0000","kri0001","15",33,3720,0.00887096774193548,0.871026317847185,0,2024-01-11
"AA-AA-000-0000","kri0001","112",15,1691,0.00887049083382614,0.587190523694086,0,2024-01-11
"AA-AA-000-0000","kri0001","82",12,1422,0.00843881856540084,0.479460465668845,0,2024-01-11
"AA-AA-000-0000","kri0001","130",17,2040,0.00833333333333333,0.557002917908787,0,2024-01-11
"AA-AA-000-0000","kri0001","12",6,723,0.00829875518672199,0.328227577417367,0,2024-01-11
